Name,Latest Chapter,Dated Released,depth,download_timeout,download_slot,download_latency,Link,Genre,Status,Rating,img-link
Lumine,Chapter 130,"May 02,21",3,180.0,manganelo.com,0.3475935459136963,https://manganelo.com/manga/cv917989,"Drama,Webtoons",Ongoing,4.67,https://avt.mkklcdnv6temp.com/29/k/17-1583496317.jpg
Gosu,Chapter 226,"May 02,21",3,180.0,manganelo.com,0.3995952606201172,https://manganelo.com/manga/gosu,"Action,Adventure,Comedy,Historical,Martial arts,Shounen,Webtoons,Manhwa",Completed,4.72,https://avt.mkklcdnv6temp.com/18/a/1-1583464398.jpg
Almighty Master,Chapter 141,"May 02,21",3,180.0,manganelo.com,0.37069082260131836,https://manganelo.com/manga/rx922672,"Action,Comedy",Ongoing,4.48,https://avt.mkklcdnv6temp.com/3/c/21-1587009692.jpg
I Met The Male Lead In Prison,Chapter 10,"May 02,21",4,180.0,manganelo.com,0.3816962242126465,https://manganelo.com/manga/ql921382,"Fantasy,Romance,Shoujo,Webtoons",Ongoing,4.82,https://avt.mkklcdnv6temp.com/4/e/20-1583501156.jpg
Killing Me/killing You,Chapter 11,"May 02,21",4,180.0,manganelo.com,0.4377119541168213,https://manganelo.com/manga/jz918104,"Action,Adventure,Comedy,Drama,Ecchi,Fantasy,Mature,Shounen",Ongoing,4.77,https://avt.mkklcdnv6temp.com/33/u/17-1583496470.jpg
Your Heart In My Hands,Chapter 29,"May 02,21",4,180.0,manganelo.com,0.31913208961486816,https://manganelo.com/manga/ho926453,"Drama,Romance,Shounen ai,Webtoons,Yaoi",Ongoing,2.41,https://avt.mkklcdnv6temp.com/8/w/24-1619450259.jpg
The Rise Of The Unemployed Wise Man,Chapter 39,"May 02,21",4,180.0,manganelo.com,0.5347285270690918,https://manganelo.com/manga/ur923338,"Action,Adventure,Comedy,Fantasy",Ongoing,4.69,https://avt.mkklcdnv6temp.com/31/q/21-1592972956.jpg
In Or Out,Chapter 33,"May 02,21",4,180.0,manganelo.com,0.3461306095123291,https://manganelo.com/manga/ia923296,"Drama,Shounen ai,Webtoons",Ongoing,3.66,https://avt.mkklcdnv6temp.com/30/a/21-1592537654.jpg
Summer's Guest,Chapter 11,"May 02,21",4,180.0,manganelo.com,0.38112974166870117,https://manganelo.com/manga/pe926214,"Adult,Drama,Mature,Romance,Yaoi,Manhwa",Ongoing,3.09,https://avt.mkklcdnv6temp.com/49/b/23-1617251187.jpg
Ouroboros：ウロボロス,Chapter 11,"May 02,21",4,180.0,manganelo.com,0.484088659286499,https://manganelo.com/manga/ouroboros,"Adult,Mature,Romance,Smut,Webtoons,Yaoi,Manhwa",Ongoing,3.24,https://avt.mkklcdnv6temp.com/3/l/24-1617894953.jpg
Bound To Be Fools,Chapter 17 : I Can Finally Breathe,"May 02,21",4,180.0,manganelo.com,0.43399667739868164,https://manganelo.com/manga/iu926449,"Drama,Mature,Slice of life,Yaoi,Manhwa",Ongoing,3.1,https://avt.mkklcdnv6temp.com/8/s/24-1619323265.jpg
The Dragon Prince's Bride,Chapter 70 : Back To Normal,"May 02,21",4,180.0,manganelo.com,0.42768216133117676,https://manganelo.com/manga/uf919788,"Drama,Fantasy,Romance,Webtoons",Ongoing,4.48,https://avt.mkklcdnv6temp.com/44/z/18-1583498846.jpg
My Three Tyrant Brothers,Chapter 20,"May 02,21",4,180.0,manganelo.com,0.5046851634979248,https://manganelo.com/manga/oc926391,"Romance,Shoujo,Webtoons,Manhwa",Ongoing,4.8,https://avt.mkklcdnv6temp.com/6/j/24-1618674900.jpg
Boy's Lipstick,Chapter 34,"May 02,21",4,180.0,manganelo.com,0.4326815605163574,https://manganelo.com/manga/lh926387,"Drama,Gender bender,Romance,Slice of life,Webtoons,Manhwa",Ongoing,4.29,https://avt.mkklcdnv6temp.com/6/e/24-1618591469.jpg
I’Ll Become The Tyrant’S Tutor,Chapter 16,"May 02,21",4,180.0,manganelo.com,0.502687931060791,https://manganelo.com/manga/ii925644,"Drama,Fantasy,Romance,Slice of life",Ongoing,4.42,https://avt.mkklcdnv6temp.com/25/j/23-1613264473.jpg
"A Kiss, For Real",Volume 5 Chapter 20,"May 02,21",4,180.0,manganelo.com,0.39867091178894043,https://manganelo.com/manga/og926442,"Comedy,Drama,Romance,School life,Shoujo",Ongoing,4.24,https://avt.mkklcdnv6temp.com/8/k/24-1619276504.jpg
Lost Princess,Chapter 66,"May 02,21",4,180.0,manganelo.com,0.5306816101074219,https://manganelo.com/manga/oq922076,"Adventure,Fantasy,Historical,Romance,Shoujo,Webtoons,Manhwa",Ongoing,4.01,https://avt.mkklcdnv6temp.com/30/e/20-1583502187.jpg
Cloud ,Chapter 12,"May 02,21",4,180.0,manganelo.com,0.3846416473388672,https://manganelo.com/manga/wv926281,"Drama,Romance,School life,Shounen ai,Webtoons,Manhwa",Ongoing,3.64,https://avt.mkklcdnv6temp.com/2/a/23-1617641789.jpg
A Villain Is A Good Match For A Tyrant,Chapter 54,"May 02,21",4,180.0,manganelo.com,0.4056544303894043,https://manganelo.com/manga/a_villain_is_a_good_match_for_a_tyrant,"Drama,Fantasy,Romance,Webtoons",Ongoing,4.73,https://avt.mkklcdnv6temp.com/33/f/21-1593708817.jpg
My Three Tyrant Brothers,Chapter 20,"May 02,21",4,180.0,manganelo.com,0.3466925621032715,https://manganelo.com/manga/by926393,"Fantasy,Romance,Shoujo",Ongoing,4.6,https://avt.mkklcdnv6temp.com/6/i/24-1618674586.jpg
Please Take Care Of Me In This Life As Well,Chapter 42,"May 02,21",4,180.0,manganelo.com,0.488692045211792,https://manganelo.com/manga/cn923243,"Romance,Slice of life,Webtoons",Ongoing,4.85,https://avt.mkklcdnv6temp.com/27/r/21-1592234395.jpg
The Younger Male Lead Fell For Me Before The Destruction,Chapter 25,"May 02,21",4,180.0,manganelo.com,0.39469194412231445,https://manganelo.com/manga/je924796,"Comedy,Fantasy,Romance",Ongoing,4.73,https://avt.mkklcdnv6temp.com/40/p/22-1606385220.jpg
Villainous Princess,Chapter 50,"May 02,21",4,180.0,manganelo.com,0.36668896675109863,https://manganelo.com/manga/ga922470,"Fantasy,Romance,Webtoons",Ongoing,4.47,https://avt.mkklcdnv6temp.com/45/f/20-1584462662.jpg
Brainless Witch,Chapter 17,"May 02,21",4,180.0,manganelo.com,0.5506947040557861,https://manganelo.com/manga/va926383,"Comedy,Fantasy,Slice of life,Tragedy,Manhwa",Ongoing,4.59,https://avt.mkklcdnv6temp.com/6/a/24-1618589969.jpg
The Demon King Who Lost His Job,Chapter 168,"May 02,21",4,180.0,manganelo.com,0.5246868133544922,https://manganelo.com/manga/md919933,"Action,Comedy",Ongoing,4.66,https://avt.mkklcdnv6temp.com/50/m/19-1583499076.jpg
Who Made Me A Princess,Chapter 98,"May 02,21",4,180.0,manganelo.com,0.4850621223449707,https://manganelo.com/manga/nw921048,"Comedy,Fantasy,Romance,Manhua,Isekai",Ongoing,4.66,https://avt.mkklcdnv6temp.com/41/p/19-1583500688.jpg
Apocalyptic Super System,Chapter 146,"May 01,21",5,180.0,manganelo.com,0.43501949310302734,https://manganelo.com/manga/wk922609,"Action,Adventure,Fantasy,Horror",Ongoing,4.08,https://avt.mkklcdnv6temp.com/50/q/20-1585844269.jpg
Medical Martial Arts,Chapter 106,"May 01,21",5,180.0,manganelo.com,0.4270167350769043,https://manganelo.com/manga/ap921597,"Action,Martial arts,Romance,Manhua",Ongoing,4.16,https://avt.mkklcdnv6temp.com/12/g/20-1583501505.jpg
The Hunter,Chapter 233,"May 01,21",5,180.0,manganelo.com,0.42297840118408203,https://manganelo.com/manga/rhi243232,"Action,Adventure,Comedy,Drama,Fantasy,Historical,Horror,Martial arts,Mystery,Psychological,Romance,Seinen,Webtoons",Ongoing,4.37,https://avt.mkklcdnv6temp.com/14/w/15-1583491995.jpg
Guide For A Princess-To-Be,Chapter 18,"May 01,21",5,180.0,manganelo.com,0.4169750213623047,https://manganelo.com/manga/px926318,"Cooking,Fantasy,Historical,Romance,Webtoons",Ongoing,4.35,https://avt.mkklcdnv6temp.com/3/m/24-1617936062.jpg
Affectionately,Chapter 36,"May 01,21",5,180.0,manganelo.com,0.3889796733856201,https://manganelo.com/manga/ne924457,"Romance,Yaoi",Ongoing,3.82,https://avt.mkklcdnv6temp.com/26/q/22-1602174167.jpg
Somebody Please Explain What’S Going On Here! ~A Wedding That Began With A Contract~,Chapter 14,"May 02,21",4,180.0,manganelo.com,0.5579814910888672,https://manganelo.com/manga/wt926414,"Comedy,Fantasy,Romance,Shoujo,Slice of life",Ongoing,4.72,https://avt.mkklcdnv6temp.com/7/f/24-1619062609.jpg
Bossy Ceo’S Sweet Maid,Chapter 78,"May 01,21",5,180.0,manganelo.com,0.5539798736572266,https://manganelo.com/manga/eq924635,"Romance,Webtoons",Ongoing,3.96,https://avt.mkklcdnv6temp.com/33/w/22-1604367811.jpg
A.i. Doctor,Chapter 1,"May 01,21",5,180.0,manganelo.com,0.3559989929199219,https://manganelo.com/manga/kd926488,"Action,Drama,Sci fi",Ongoing,4.72,https://avt.mkklcdnv6temp.com/10/e/24-1619868545.jpg
Husband Anyway!,Read more,"May 01,21",5,180.0,manganelo.com,0.35303330421447754,https://manganelo.com/manga/ng926489,"Action,Romance,School life,Shoujo,Slice of life",Ongoing,2.55,https://avt.mkklcdnv6temp.com/10/f/24-1619868712.jpg
Urban Fairy King,Chapter 237,"May 01,21",5,180.0,manganelo.com,0.3690035343170166,https://manganelo.com/manga/cv921879,"Action,Martial arts,School life,Webtoons",Ongoing,4.34,https://avt.mkklcdnv6temp.com/22/t/20-1583501898.jpg
Great Doctor Ling Ran,Chapter 22,"May 01,21",5,180.0,manganelo.com,0.4276571273803711,https://manganelo.com/manga/zb925796,"Action,Adventure",Ongoing,4.83,https://avt.mkklcdnv6temp.com/31/n/23-1613973606.jpg
Wife Is A Secret Agent,Read more,"May 01,21",5,180.0,manganelo.com,0.33278918266296387,https://manganelo.com/manga/kg926492,"Adventure,Comedy,Harem",Ongoing,4.37,https://avt.mkklcdnv6temp.com/10/i/24-1619870059.jpg
Apotheosis,Chapter 747,"May 01,21",5,180.0,manganelo.com,0.37203431129455566,https://manganelo.com/manga/apotheosis,"Action,Fantasy,Martial arts,Shounen",Ongoing,-10470.85,https://avt.mkklcdnv6temp.com/13/f/16-1583493949.jpg
I Got No Boy,Chapter 1,"May 01,21",5,180.0,manganelo.com,0.5097968578338623,https://manganelo.com/manga/zm926490,"Action,Comedy,Mystery,Romance",Ongoing,2.71,https://avt.mkklcdnv6temp.com/10/g/24-1619868976.jpg
Way To Be The Evil Emperor,Chapter 1,"May 01,21",5,180.0,manganelo.com,0.33379149436950684,https://manganelo.com/manga/py926493,"Adventure,Comedy,Cooking,Historical,Martial arts,Supernatural",Ongoing,3.13,https://avt.mkklcdnv6temp.com/10/j/24-1619870332.jpg
Super Keyboard Man,Chapter 112,"May 01,21",5,180.0,manganelo.com,0.3327901363372803,https://manganelo.com/manga/ot922892,"Action,Adventure,Fantasy,Harem",Ongoing,4.07,https://avt.mkklcdnv6temp.com/12/i/21-1589305757.jpg
Scheming Young Master’S Sweet Wife,Chapter 1,"May 01,21",5,180.0,manganelo.com,0.3607501983642578,https://manganelo.com/manga/ae926494,"Drama,Romance,School life,Slice of life",Ongoing,4.35,https://avt.mkklcdnv6temp.com/10/k/24-1619870729.jpg
Concubine Walkthrough,Chapter 12,"May 01,21",5,180.0,manganelo.com,0.35057806968688965,https://manganelo.com/manga/qx926104,"Fantasy,Historical,Romance",Ongoing,4.6,https://avt.mkklcdnv6temp.com/44/i/23-1616170525.jpg
